,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_data_index,param_kernel_name,param_lambda_ss,param_mismatch_nb,param_seq_length_mm,param_seq_length_sp,param_seq_length_ss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.064346170425415,0.4358383357690714,0.43392014503479004,0.07255315814532677,0.01,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.01, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.5525,0.6075,0.57,0.56,0.595,0.577,0.02094039159137193,149
1,2.7076807975769044,0.09298373761103267,0.4823082447052002,0.048222434075166444,0.02,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.02, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.645,0.6675,0.62,0.64,0.6,0.6345000000000001,0.022934689882359433,148
2,2.8291261196136475,0.18673281062037195,0.4622016429901123,0.08394626556184767,0.03,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.03, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.6375,0.7025,0.6525,0.6575,0.64,0.6579999999999999,0.023473389188611016,147
3,2.874805784225464,0.08454362115774017,0.4528627395629883,0.0787843461939763,0.04,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.04, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.6425,0.7025,0.67,0.655,0.665,0.667,0.02008730942660068,9
4,2.661533260345459,0.06687555579057997,0.4895237922668457,0.05893277296095595,0.05,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.05, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.64,0.69,0.6775,0.6575,0.665,0.666,0.017073371078963853,18
5,2.674019718170166,0.08070644660774189,0.45320806503295896,0.08356739537990938,0.060000000000000005,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.060000000000000005, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.65,0.69,0.685,0.6625,0.67,0.6715,0.014628738838327784,4
6,2.596488904953003,0.13639088398209792,0.43706555366516114,0.025849678907558973,0.06999999999999999,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.06999999999999999, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.665,0.6975,0.6825,0.6675,0.6775,0.6779999999999999,0.011661903789690599,1
7,2.656036853790283,0.09419165994926751,0.5423035144805908,0.11126869659291104,0.08,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.08, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.6625,0.695,0.675,0.6625,0.6675,0.6725,0.012144957801491111,2
8,2.8174256801605226,0.2695145937433556,0.5853008270263672,0.11962323913598885,0.09,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.09, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.6775,0.6925,0.6775,0.655,0.6575,0.672,0.014,3
9,2.914698934555054,0.1996707414676297,0.46742563247680663,0.03946901562469425,0.09999999999999999,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.09999999999999999, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.675,0.69,0.68,0.6525,0.65,0.6695,0.01568438714135812,5
10,2.6313186645507813,0.14487742460905148,0.4994508743286133,0.0941741435844781,0.11,1,sum,0.5,"[1, 2]","[13, 12, 11, 10, 9, 8]",3,"[11, 10, 9, 8, 7, 6]","{'C': 0.11, 'data_index': 1, 'kernel_name': 'sum', 'lambda_ss': 0.5, 'mismatch_nb': [1, 2], 'seq_length_mm': [13, 12, 11, 10, 9, 8], 'seq_length_sp': 3, 'seq_length_ss': [11, 10, 9, 8, 7, 6]}",0.675,0.685,0.685,0.6525,0.6475,0.6689999999999999,0.016015617378047006,6
